ID|Code|IDPlayer|RealName|DayBirth|MonthBirth|YearBirth|Height|Weight|RightHanded|TurnedPro|Country
1991|H844|Ha/P/Pirmin-Haenle|Pirmin Haenle|31|10|1988|-1|-1|-1|-1|Germany
1992|BI85|Bo/M/Michael-Bois|Michael Bois|19|11|1993|-1|-1|-1|-1|France
1993|K409|Ki/P/Phillip-King|Phillip King|19|12|1981|175|66|1|2004|United States
1994|K408|Kr/A/Andrej-Kracman|Andrej Kračman|22|8|1982|-1|-1|1|-1|Slovenia
1995|PC96|Top-Players/John-Peers|John Peers|25|7|1988|188|84|1|2011|Australia
1996|K401|Ka/T/Toshiharu-Kato|Toshiharu Kato|12|8|1979|-1|-1|1|-1|Japan
1997|TB69|Top-Players/Dominic-Thiem|Dominic Thiem|3|9|1993|185|82|1|2011|Austria
1998|K403|Ku/I/Igor-Kunitsyn|Igor Kunitsyn|30|9|1981|180|75|1|1999|Russian Federation
1999|O411|Ol/A/Albano-Olivetti|Albano Olivetti|24|11|1991|203|104|1|2010|France
2000|K405|Ku/D/Denis-Kurmatov|Denis Kurmatov|8|1|1981|-1|-1|1|-1|Uzbekistan
2001|PC99|Pa/N/Nikolai-Parkhomenko|Nikolai Parkhomenko|17|5|1989|-1|-1|-1|-1|Russian Federation
2002|K407|Ke/A/Alexey-Kedryuk|Alexey Kedryuk|8|8|1980|193|90|1|1998|Kazakhstan
2003|K406|Top-Players/Christopher-Kas|Christopher Kas|13|6|1980|188|85|1|2001|Germany
2004|GD54|Gr/R/Roggan-Gracie|Roggan Gracie|-1|-1|-1|-1|-1|-1|-1|Brazil
2005|S413|Sa/V/Vincenzo-Santopadre|Vincenzo Santopadre|11|8|1971|183|76|0|1991|Italy
2006|O098|On/M/Marcos-Ondruska|Marcos Ondruska|18|12|1972|183|79|1|1989|South Africa
2007|O099|Ob/A/Alex-Obrien|Alex Obrien|7|3|1970|185|88|1|1992|United States
2008|D750|De/K/Kenny-De-Schepper|Kenny De Schepper|29|5|1987|203|102|0|2010|France
2009|E708|Es/M/Maximiliano-Estevez|Maximiliano Estévez|18|5|1989|-1|-1|-1|-1|Argentina
2010|D752|De/N/Niels-Desein|Niels Desein|9|6|1987|190|84|1|2007|Belgium
2011|D753|Du/J/Jean-Michel-Durango|Jean Michel Durango|22|1|1988|-1|-1|-1|-1|Ecuador
2012|D754|De/X/Xavier-Dejuan|Xavier Dejuan|13|8|1984|-1|-1|-1|-1|Spain
2013|D755|Do/M/Mauricio-Doria-Medina|Mauricio Doria Medina|22|9|1988|-1|-1|0|-1|Bolivia
2014|BB10|Be/E/Enrico-Becuzzi|Enrico Becuzzi|23|3|1973|-1|-1|1|-1|Italy
2015|Z305|Za/F/Francisco-Zambon|Francisco Zambon|3|2|1993|-1|-1|-1|-1|Brazil
2016|A766|Aa/P/Peter-Aarts|Peter Aarts|25|2|1987|-1|-1|-1|0|United States
2017|MI43|Me/G/Gerald-Melzer|Gerald Melzer|13|7|1990|188|85|0|-1|Austria
2018|A764|Al/T/Tuna-Altuna|Tuna Altuna|30|1|1989|-1|-1|-1|0|Turkey
2019|C759|Ce/I/Ivan-Cerovic|Ivan Cerovic|1|3|1982|190|86|0|2001|Croatia
2020|O076|On/J/Jaime-Oncins|Jaime Oncins|16|6|1970|196|82|1|1988|Brazil
2021|K572|Kr/G/Gilles-Kremer|Gilles Kremer|15|7|1981|-1|-1|1|-1|Luxembourg
2022|S893|Sl/M/Martin-Slanar|Martin Slanar|1|5|1981|-1|-1|1|-1|Austria
